bookID,Title,Authors,Publisher,Year,Language,ISBN-13
1,NA,NA,NA,NA,NA,
2,Harry Potter,['J. K. Rowling'],,2008,en,9780439358071
4,Harry Potter And The Chamber Of Secrets,"['J. K. Rowling', 'Mary GrandPre']",Arthur a Levine,2003,en,9780439554893
5,Harry Potter And The Prisoner Of Azkaban,['J. K. Rowling'],Scholastic Paperbacks,2004,en,9780439655484
8,NA,NA,NA,NA,NA,
9,Unauthorized Harry Potter And The Deathly Hallows News - Harry Potter Book Seven And Half-Blood Prince Analysis,['W. Frederick Zimmerman'],Nimble Books,2005,en,9780976540601
10,Harry Potter And The Prisoner Of Azkaban,['J. K. Rowling'],,1999,en,9780439827607
12,The Ultimate Hitchhiker's Guide - Five Complete Novels And One Story,['Douglas Adams'],Gramercy,2005,en,9780517226957
13,The Ultimate Hitchhiker's Guide To The Galaxy,['Douglas Adams'],Del Rey,2002,en,9780345453747
14,The Hitchhiker's Guide To The Galaxy 25Th Anniversary Edition - A Novel,['Douglas Adams'],Crown,2004,en,9781400052929
16,NA,NA,NA,NA,NA,
18,The Ultimate Hitchhiker's Guide,['Douglas Adams'],Wings,1996,en,9780517149256
21,A Short History Of Nearly Everything,['Bill Bryson'],Crown,2004,en,9780767908184
22,Bill Bryson's African Diary,['Bill Bryson'],National Geographic Books,2002,en,9780767915069
23,Bryson's Dictionary Of Troublesome Words - A Writer's Guide To Getting It Right,['Bill Bryson'],Crown,2004,en,9780767910439
24,In A Sunburned Country,['Bill Bryson'],Crown,2001,en,9780767903868
25,I'm A Stranger Here Myself - Notes On Returning To America After 20 Years Away,['Bill Bryson'],Crown,1999,en,9780767903820
26,The Lost Continent - Travels In Small Town America,['Bill Bryson'],Harper Collins,1990,en,9780060920081
27,Neither Here Nor There: - Travels In Europe,['Bill Bryson'],Harper Collins,1993,en,9780380713806
28,Notes From A Small Island,['Bill Bryson'],Harper Collins,1997,en,9780380727506
29,The Mother Tongue,['Bill Bryson'],Harper Collins,1991,en,9780380715435
30,The Hobbit / The Lord Of The Rings - The Hobbit / The Fellowship Of The Ring / The Two Towers / The Return Of The King,['John Ronald Reuel Tolkien'],National Geographic Books,2012,en,9780345538376
31,The Lord Of The Rings,['John Ronald Reuel Tolkien'],William Morrow,2004,en,9780618517657
34,The Lord Of The Rings,['John Ronald Reuel Tolkien'],,2003,en,9780618346257
35,The Lord Of The Rings,['John Ronald Reuel Tolkien'],Mariner Books,2002,en,9780618260584
36,The Lord Of The Rings - Weapons And Warfare,['Chris Smith'],Mariner Books,2003,en,9780618391004
37,The Lord Of The Rings Complete Visual Companion,['Jude Fisher'],Mariner Books,2004,en,9780618510825
45,Agile Web Development With Rails - A Pragmatic Guide,"['David Thomas', 'David Heinemeier Hansson', 'Leon Breedt']",,2005,en,9780976694007
50,Hatchet,['Gary Paulsen'],Simon and Schuster,1987,en,9780689840920
51,A Guide For Using Hatchet In The Classroom,['Donna Ickes'],Teacher Created Resources,1994,en,9781557344496
53,Guts - The True Stories Behind Hatchet And The Brian Books,['Gary Paulsen'],Delacorte Books for Young Readers,2001,en,9780385326506
54,NA,NA,NA,NA,NA,
55,Hatchet Jobs - Writings On Contemporary Fiction,['Dale Peck'],,2005,en,9781595580276
57,A Changeling For All Seasons,"['Angela Knight', 'Kate Douglas', 'Shelby Morgen']",Changeling PressLlc,2005,en,9781595962805
58,Changeling,['Delia Sherman'],Viking Juvenile,2006,en,9780670059676
59,The Changeling Sea,['Patricia A. McKillip'],National Geographic Books,2003,en,9780141312620
61,NA,NA,NA,NA,NA,
63,The Changeling - A Novel,['Kate Horsley'],National Geographic Books,2005,en,9781590301944
66,The Changeling,['Philippa Carr'],Ivy Books,1990,en,9780449146972
67,The Known World,['Edward P. Jones'],Harper Collins,2006,en,9780061159176
68,NA,NA,NA,NA,NA,
69,The Known World LP,['Edward P. Jones'],Harper Collins,2004,en,9780060749910
71,"Traders, Guns & Money - Knowns And Unknowns In The Dazzling World Of Derivatives",['Satyajit Das'],Pearson Education,2006,en,9780273704744
72,Artesia: Adventures In The Known World RPG,['Mark Smylie'],Archaia,2009,en,9781932386103
74,La Place De La Concorde Suisse - S,['John McPhee'],,1985,en,9780374517199
75,Uncommon Carriers,['John McPhee'],Macmillan,2006,en,9780374280390
76,Heirs Of General Practice,['John McPhee'],Macmillan,1986,en,9780374519742
77,The Control Of Nature,['John McPhee'],"Farrar, Straus and Giroux",1990,en,9780374522599
78,Annals Of The Former World,['John McPhee'],"Farrar, Straus and Giroux",2000,en,9780374518738
79,Coming Into The Country,['John McPhee'],Macmillan,1977,en,9780374522872
80,La Place De La Concorde Suisse - S,['John McPhee'],,1985,en,9780374519322
81,Giving Good Weight,['John McPhee'],"Farrar, Straus and Giroux",1994,en,9780374516000
83,Rising From The Plains,['John McPhee'],Annals of the Former World,1987,en,9780374520656
85,The Heidi Chronicles,['Wendy Wasserstein'],"Dramatists Play Service, Inc.",1990,en,9780822205104
86,The Heidi Chronicles - Uncommon Women And Others & Isn't It Romantic,['Wendy Wasserstein'],Vintage,1991,en,9780679734994
89,"Active Literacy Across The Curriculum - Strategies For Reading, Writing, Speaking, And Listening",['Heidi Hayes Jacobs'],Eye on Education,2006,en,9781596670235
90,Simply Beautiful Beaded Jewelry,['Heidi Boyd'],North Light Books,2006,en,9781581807745
91,Always Enough - God's Miraculous Provision Among The Poorest Children On Earth,"['Rolland Baker', 'Heidi Baker']",Baker Books,2003,en,9780800793616
92,"Mapping The Big Picture - Integrating Curriculum & Assessment, K-12",['Heidi Hayes Jacobs'],ASCD,1997,en,9780871202864
93,Heidi,['Johanna Spyri'],Hachette Book Group,2002,en,9780753454947
94,Getting Results With Curriculum Mapping,['Heidi Hayes Jacobs'],Assn for Supervision & Curriculum,2004,en,9780871209993
96,There Is Always Enough - The Story Of Rolland And Heidi Baker's Miraculous Ministry Among The Poor,"['Rolland Baker', 'Heidi Baker']",Sovereign World,2003,en,9781852402877
98,What To Expect The First Year,"['Heidi Eisenberg Murkoff', 'Arlene Eisenberg', 'Sandee Eisenberg Hathaway', 'Sharon Mazel']",Workman Publishing,2003,en,9780761129585
99,The Player's Handbook - The Ultimate Guide On Dating And Relationships,"['Heidi Fleiss', 'Libby Keatinge']",,2003,en,9780972016414
100,Simply Beautiful Beading,['Heidi Boyd'],North Light Books,2004,en,9781581805635
103,NA,NA,NA,NA,NA,
105,Chapterhouse: Dune,['Frank Herbert'],Penguin,1987,en,9780441102679
106,Dune Messiah,['Frank Herbert'],Ace,1969,en,9780441172696
107,Dreamer Of Dune - The Biography Of Frank Herbert,['Brian Herbert'],Tor Books,2004,en,9780765306470
109,Heretics Of Dune,['Frank Herbert'],Putnam Publishing Group,1984,en,9780399128981
110,The Road To Dune,"['Frank Herbert', 'Brian Herbert', 'Kevin J. Anderson']",Macmillan,2006,en,9780765353702
117,Heretics Of Dune,['Frank Herbert'],Penguin,1984,en,9780441328000
119,The Lord Of The Rings - The Art Of The Fellowship Of The Ring,['Gary Russell'],Houghton Mifflin,2002,en,9780618212903
